listing_name,address,property_management_name,monthly_rent,bedroom_count,bathroom_count,utility_water,utility_heat,utility_electricity,wifi_included,utility_laundry,included_appliances,parking_availability,apartment_size,apartment_size_unit,is_furnished,availability_status,image,description,source,website
Fort George Apartments,"3045 Olivet Street, Halifax, NS B3L 4A3",SouthWest,-1,0,1,1,1,-1,1,3,"['Fridge', 'Stove']",2,323,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']","Studio apartment with heat & hot water included. Building features a secure entry system, laundry facilities, and close proximity to shopping centers and professional centers.",http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Fort George Apartments,"3045 Olivet Street, Halifax, NS B3L 4A3",SouthWest,960,0,1,1,1,-1,1,3,"['Fridge', 'Stove']",2,409,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']",Studio apartment with heat & hot water included. Close to shopping centers and professional centers. Parking available.,http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Fort George Apartments,"3045 Olivet Street, Halifax, NS B3L 4A3",SouthWest,-1,1,1,1,1,-1,1,3,"['Fridge', 'Stove']",2,483,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']",1-bedroom unit with heat & hot water included. Building offers laundry facilities and close access to shopping centers and professional centers.,http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Fort George Apartments,"3045 Olivet Street, Halifax, NS B3L 4A3",SouthWest,-1,2,1,1,1,-1,1,3,"['Fridge', 'Stove']",2,890,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']",2-bedroom unit with heat & hot water included. Enjoy large balconies and a quiet location close to shopping centers and professional centers.,http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Fort Lawrence,"3065 Olivet Street, Halifax, NS B3L 3Z8",Resident Manager - Courtney Desmond,-1,0,1,-1,1,-1,-1,3,"['Refrigerator', 'Stove']",0,435,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBath.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceCloset.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceLiving.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Bathroom.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Entrance.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Kitchen.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room.jpg?&quality=85']","Studio apartment with 1 bathroom and 435 square feet. Fort Lawrence is a five storey building situated in the convenient West End of Halifax. Located on a lovely tree-lined Street and within minutes from the Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. The property includes well maintained grounds and units with large balconies. RENT INCLUDES: HEAT & HOT WATER. Units feature parquet wooden floors. Apartments offer large windows and balconies for maximum light. Building serviced by an elevator. Laundry facilities feature coinless operating system. Well kept, secure building with Resident Managers on-site. Exterior parking available*. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone. On main bus routes for easy access to Universities and downtown business or shopping. Minutes to Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. Pet Policy: 1 cat allowed.",http://apartments.southwest.ca/apartments/ns/halifax/fort-lawrence/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Fort Lawrence - 1 Bedroom Style B,"3065 Olivet Street, Halifax, NS B3L 3Z8",Resident Manager - Courtney Desmond,-1,1,1,-1,1,-1,-1,3,"['Refrigerator', 'Stove']",0,492,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBath.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceCloset.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceLiving.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Bathroom.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Entrance.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Kitchen.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room.jpg?&quality=85']","1 bedroom, 1 bathroom apartment with 492 square feet in Floor Plan Style B. Includes heat & hot water. Equipped for Bell Aliant Fibe™ TV, Internet and Home Phone. Fort Lawrence is a five storey building situated in the convenient West End of Halifax. Located on a lovely tree-lined Street and within minutes from the Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. The property features well maintained grounds and units include large balconies. Building serviced by an elevator. Laundry facilities feature coinless operating system. Well kept, secure building with Resident Managers on-site. Exterior parking available*. On main bus routes for easy access to Universities and downtown business or shopping. Minutes to Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. Pet Policy: 1 cat allowed.",http://apartments.southwest.ca/apartments/ns/halifax/fort-lawrence/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
Fort Lawrence - 1 Bedroom Style C,"3065 Olivet Street, Halifax, NS B3L 3Z8",Resident Manager - Courtney Desmond,-1,1,1,-1,1,-1,-1,3,"['Refrigerator', 'Stove']",0,492,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBath.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceCloset.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceLiving.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Bathroom.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Entrance.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Kitchen.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room.jpg?&quality=85']","1 bedroom, 1 bathroom apartment with 492 square feet in Floor Plan Style C. Includes heat & hot water. Equipped for Bell Aliant Fibe™ TV, Internet and Home Phone. Fort Lawrence is a five storey building situated in the convenient West End of Halifax. Located on a lovely tree-lined Street and within minutes from the Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. The property features well maintained grounds and units include large balconies. Building serviced by an elevator. Laundry facilities feature coinless operating system. Well kept, secure building with Resident Managers on-site. Exterior parking available*. On main bus routes for easy access to Universities and downtown business or shopping. Minutes to Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. Pet Policy: 1 cat allowed.",http://apartments.southwest.ca/apartments/ns/halifax/fort-lawrence/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
190 Glenforest Drive,"190 Glenforest Drive, Halifax, NS B3M 1J1",SouthWest,-1,2,1,1,1,-1,-1,0,"['Fridge', 'Stove']",1,874,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190GlenforestExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Kitchen2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Kitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Bed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Live.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Welcome to 190 Glenforest Drive. This three storey building is conveniently located in Clayton Park in the quiet apartment community of Glenwood. The building is situated on a large property with beautiful grounds and an exterior common area complete with a deck and picnic tables for resident use. RENT INCLUDES: HEAT & HOT WATER. Great unit layouts with eat-in kitchens. Spacious in-unit storage. Laundry facilities feature coinless operating system. On-site Resident Manager. Exterior parking available. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone. Close to grocery stores, Canada Games Centre, Bayers Lake Shopping, and Mount Saint Vincent University.",http://apartments.southwest.ca/apartments/ns/halifax/190-glenforest-drive/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
The Grainery Lofts,"927 South Bland St., Halifax, NS B3H 2S6",Resident Managers - Kevin and Carolyn Murphy,-1,-1,-1,-1,-1,-1,-1,3,"['Refrigerator', 'Stove', 'Dishwasher', 'Washer', 'Dryer']",1,-1,,3,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739292.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739295.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739296.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739297.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739298.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739299.jpg?crop=(0,0,297,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739300.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739301.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739302.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739303.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739304.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739305.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739306.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739307.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1874235.jpg?crop=(0,0,300,217)&cropxunits=300&cropyunits=217&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryRooftop.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryBBQ.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryRooftop2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryFitness(1).jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryFitness2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryUpperLounge.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Award-winning building with modern designer suites, rooftop terrace, fully-equipped fitness center, pet friendly, smoke-free. In-suite air conditioning, washer and dryer, private balcony, granite countertops, stainless steel appliances, concrete ceilings, exposed ductwork. Utilities: Electricity, cold & hot water are billed separately. On-site parking available. Equipped for Bell Aliant TV, Internet & Home Phone Fibe™. Pet friendly policy allows cats.",http://apartments.southwest.ca/apartments/ns/halifax/the-grainery-lofts/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
The Terrace - Floor Plan Style A,"961 South Bland St., Halifax, NS B3H 4M6",Resident Manager - Jeff Baker,-1,1,1,1,1,-1,-1,3,"['Fridge', 'Stove']",2,585,sq_ft,0,Unk,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitPassThru.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB4.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB5.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB7.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB8.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB9.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB10.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB11.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Studio apartment with 1 bathroom. Features oak kitchen cabinetry, ceramic tile flooring, and sun rooms. Coinless laundry system available. On-site storage and secure building with parking options. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.",http://apartments.southwest.ca/apartments/ns/halifax/the-terrace/index.aspx,https://apartments.southwest.ca/searchlisting.aspx
