sitename,source,listing_name,building_name,apartment_number,address,add_lat,add_long,property_management_name,monthly_rent,property_type,bedroom_count,bathroom_count,apartment_size,amenities,property_image,lease_period
apartments.com,https://www.apartments.com/the-cliffs-at-dellridge-bedford-ns/c5l8yeg/,The Cliffs at Dellridge,The Cliffs at Dellridge,-1,"81 Dellridge Ln , Bedford , NS B4A 4H6 – Bedford",-1,-1,https://images1.apartments.com/i2/x1vMq99BZinsqHd_t_b91NUsiVbBO8WaoAmVadTOkXI/115/realstar-group-logo.jpg,Call for Rent,Apartment,Studio - 2 bd,1 - 2 ba,"750 - 2,080 sq ft","Designer cabinetry, Hard Surface Flooring, 100% smoke-free living, Ideal mature environment, In-suite Laundry, Pendent and recessed lighting, Billiards, Heat and water included, Pet friendly, Beautifully landscaped grounds, In-suite Storage, Private Balcony/Patio, Secure entry, Energy Efficient Appliances, Resident events, Spacious 2-Bedroom + Den Suites, Air Conditioner, Two baths including one with shower, Custom blinds, Over-the-range microwave, Visitor parking, Package Service, 24 Hour Access, Guest Apartment, Clubhouse, Fitness Center, Waterfront",https://images1.apartments.com/i2/PjCypzWcwTipkEYDBcrpzk8XqMNNFa0jR3ts8Ll0DrI/111/the-cliffs-at-dellridge-bedford-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/lotus-point-dartmouth-ns/be1mcgb/,Lotus Point,Lotus Point,-1,"103 Ochterloney St , Dartmouth , NS B2Y 1C6 – Dartmouth",-1,-1,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,"C$2,750",Apartment,2 bd,1 ba,,"Storage Space, Fitness Center, Bicycle Storage, Roof Terrace",https://images1.apartments.com/i2/NERFNx19Z5ntKLpryQUEYimkvA7_W4oCIQQESEzY00c/111/lotus-point-dartmouth-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/cunard-court-lowrise-halifax-ns/g4mm29x/,Cunard Court – Lowrise,Cunard Court – Lowrise,-1,"2077-2077 Brunswick St , Halifax , NS B3K 2Y4 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$1,995",Apartment,1 bd,1 ba,620 sq ft,"Washer/Dryer, Dishwasher, Refrigerator, Laundry Facilities, Storage Space",https://images1.apartments.com/i2/3ZlB2H-Hp8c7xfjd3sJ0Zer0NhYNhke6aNJeSlinYu4/111/cunard-court-lowrise-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/the-macdonald-halifax-ns/7py88yz/,The Macdonald,The Macdonald,-1,"5885 Cunard St , Halifax , NS B3K 1E3 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,050",Apartment,1 bd,1 ba,760 sq ft,,https://images1.apartments.com/i2/un9qUBCQuQkGGpEB67QEAuODA_pmwvXfZ6HLPwpSu2k/111/the-macdonald-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/the-macdonald-halifax-ns/rmtlkm1/,The Macdonald,The Macdonald,-1,"5885 Cunard St , Halifax , NS B3K 1E3 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,495",Apartment,2 bd,1 ba,961 sq ft,,https://images1.apartments.com/i2/un9qUBCQuQkGGpEB67QEAuODA_pmwvXfZ6HLPwpSu2k/111/the-macdonald-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/new-build-3-bedroom-upper-flat-halifax-ns-unit-1/lm5vx8g/,NEW BUILD - 3 Bedroom Upper Flat,NEW BUILD - 3 Bedroom Upper Flat,-1,"33 McIntosh St , Halifax , NS B3R 1G9 – Halifax",-1,-1,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,"C$2,600",Apartment,3 bd,1 ba,,,https://images1.apartments.com/i2/6ybMMwfq4M8w8aLIB1Hwom7LdBt4Z4BSolAjG9WKhEM/111/new-build---3-bedroom-upper-flat-unit-1-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/halifax-apartments-the-plaza-halifax-ns/fr4v6fv/,Halifax Apartments – The Plaza,Halifax Apartments – The Plaza,-1,"1881 Brunswick St , Halifax , NS B3J 3L8 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,250",Apartment,1 bd,1 ba,768 sq ft,"Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",https://images1.apartments.com/i2/AudFPOuLEoRl7H1fK19Tsm0qz8yVK3Gv7qKhDLd5bo0/111/halifax-apartments-the-plaza-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/beautiful-studio-apartment-at-the-vuze-halifax-ns-unit-2604/pqk9vwr/,Beautiful Studio Apartment at The Vuze!,Beautiful Studio Apartment at The Vuze!,-1,"5633 Fenwick St , Halifax , NS B3H 1R2 – Halifax",-1,-1,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,"C$1,995",Apartment,Studio bd,1 ba,500 sq ft,,https://images1.apartments.com/i2/2rdPEpQPkjyy8eHX8vA5gaxCsa7lvDsVszQXt1rUmmk/111/beautiful-studio-apartment-at-the-vuze-unit-2604-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/beautiful-1-bedroom-penthouse-at-the-vuze-halifax-ns-unit-ph101/k32ezzc/,Beautiful 1 Bedroom Penthouse at The Vuze!,Beautiful 1 Bedroom Penthouse at The Vuze!,-1,"5633 Fenwick St , Halifax , NS B3H 1R2 – Halifax",-1,-1,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,"C$2,450",Apartment,1 bd,1 ba,800 sq ft,,https://images1.apartments.com/i2/2rdPEpQPkjyy8eHX8vA5gaxCsa7lvDsVszQXt1rUmmk/111/beautiful-1-bedroom-penthouse-at-the-vuze-unit-ph101-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/beautiful-2-bedroom-at-the-vuze-halifax-ns-unit-2403/4wwv8sj/,Beautiful 2 Bedroom at The Vuze!,Beautiful 2 Bedroom at The Vuze!,-1,"5633 Fenwick St , Halifax , NS B3H 1R2 – Halifax",-1,-1,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,"C$2,900",Apartment,2 bd,2 ba,"1,050 sq ft",,https://images1.apartments.com/i2/2rdPEpQPkjyy8eHX8vA5gaxCsa7lvDsVszQXt1rUmmk/111/beautiful-2-bedroom-at-the-vuze-unit-2403-halifax-ns-primary-photo.jpg?p=1,-1
