listing_name,building_name,apartment_number,address,add_lat,add_long,property_management_name,monthly_rent,property_type,bedroom_count,bathroom_count,utility_water,utility_heat,utility_electricity,utility_laundry,utility_wifi,included_appliances,parking_availability,parking_rates,parking_slots,parking_distance,parking_restrictions,parking_availability_status,pet_friendly,smoking_allowed,apartment_size,apartment_size_unit,is_furnished,lease_duration,availability_status,dist_hospital,dist_school,dist_restaurant,source,website,image,description,property_image,load_datetime,dist_busstop,dist_downtown,dist_clayton_park,dist_rockingham,dist_larry_uteck_area,dist_central_halifax,parking_address
Fort George Apartments,Fort George Apartments,-1,"3045 Olivet Street, Halifax, NS B3L 4A3",44.6479129,-63.6240159,SouthWest,-1,,0,1.0,1,1,-1,3,1,"['Fridge', 'Stove']",2,-1,-1,-1.0,-1,-1,-1,-1,323,-1,0,-1,-1,0.4858355254735898,0.6159518754176667,0.5361249839336981,http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']","Studio apartment with heat & hot water included. Building features a secure entry system, laundry facilities, and close proximity to shopping centers and professional centers.",https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85,2024-03-27 18:42:08,1.3096303867657493,2.281890143006282,1.387653594891271,2.0395858588857947,4.7087981625732604,0.3030170552578831,
Fort George Apartments,Fort George Apartments,-1,"3045 Olivet Street, Halifax, NS B3L 4A3",44.6479129,-63.6240159,SouthWest,960,,0,1.0,1,1,-1,3,1,"['Fridge', 'Stove']",2,-1,-1,-1.0,-1,-1,-1,-1,409,-1,0,-1,-1,0.4858355254735898,0.6159518754176667,0.5361249839336981,http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']",Studio apartment with heat & hot water included. Close to shopping centers and professional centers. Parking available.,https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85,2024-03-27 18:42:08,1.3096303867657493,2.281890143006282,1.387653594891271,2.0395858588857947,4.7087981625732604,0.3030170552578831,
Fort George Apartments,Fort George Apartments,-1,"3045 Olivet Street, Halifax, NS B3L 4A3",44.6479129,-63.6240159,SouthWest,-1,,1,1.0,1,1,-1,3,1,"['Fridge', 'Stove']",2,-1,-1,-1.0,-1,-1,-1,-1,483,-1,0,-1,-1,0.4858355254735898,0.6159518754176667,0.5361249839336981,http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']",1-bedroom unit with heat & hot water included. Building offers laundry facilities and close access to shopping centers and professional centers.,https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85,2024-03-27 18:42:08,1.3096303867657493,2.281890143006282,1.387653594891271,2.0395858588857947,4.7087981625732604,0.3030170552578831,
Fort George Apartments,Fort George Apartments,-1,"3045 Olivet Street, Halifax, NS B3L 4A3",44.6479129,-63.6240159,SouthWest,-1,,2,1.0,1,1,-1,3,1,"['Fridge', 'Stove']",2,-1,-1,-1.0,-1,-1,-1,-1,890,-1,0,-1,-1,0.4858355254735898,0.6159518754176667,0.5361249839336981,http://apartments.southwest.ca/apartments/ns/halifax/fort-george/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior2.jpg?&quality=85']",2-bedroom unit with heat & hot water included. Enjoy large balconies and a quiet location close to shopping centers and professional centers.,https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480429/FortGeorgeExterior.jpg?&quality=85,2024-03-27 18:42:08,1.3096303867657493,2.281890143006282,1.387653594891271,2.0395858588857947,4.7087981625732604,0.3030170552578831,
Fort Lawrence,Fort Lawrence,-1,"3065 Olivet Street, Halifax, NS B3L 3Z8",44.648461,-63.62400689999999,Resident Manager - Courtney Desmond,-1,,0,1.0,-1,1,-1,3,-1,"['Refrigerator', 'Stove']",0,62,29,1.8636297701509963,-1,-1,-1,-1,435,-1,0,-1,-1,0.4505098249737509,0.5827545079211527,0.5003843729776569,http://apartments.southwest.ca/apartments/ns/halifax/fort-lawrence/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBath.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceCloset.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceLiving.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Bathroom.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Entrance.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Kitchen.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room.jpg?&quality=85']","Studio apartment with 1 bathroom and 435 square feet. Fort Lawrence is a five storey building situated in the convenient West End of Halifax. Located on a lovely tree-lined Street and within minutes from the Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. The property includes well maintained grounds and units with large balconies. RENT INCLUDES: HEAT & HOT WATER. Units feature parquet wooden floors. Apartments offer large windows and balconies for maximum light. Building serviced by an elevator. Laundry facilities feature coinless operating system. Well kept, secure building with Resident Managers on-site. Exterior parking available*. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone. On main bus routes for easy access to Universities and downtown business or shopping. Minutes to Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. Pet Policy: 1 cat allowed.",https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85,2024-03-27 18:42:08,1.2742940373530052,2.2841781413511475,1.365045792079909,2.007242302539669,4.680812262986254,0.2927988781134105,"Halifax Infirmary, 1796 Summer St South End, Halifax, NS B3H 3A7"
Fort Lawrence - 1 Bedroom Style B,Fort Lawrence - 1 Bedroom Style B,-1,"3065 Olivet Street, Halifax, NS B3L 3Z8",44.648461,-63.62400689999999,Resident Manager - Courtney Desmond,-1,,1,1.0,-1,1,-1,3,-1,"['Refrigerator', 'Stove']",0,62,29,1.8636297701509963,-1,-1,-1,-1,492,-1,0,-1,-1,0.4505098249737509,0.5827545079211527,0.5003843729776569,http://apartments.southwest.ca/apartments/ns/halifax/fort-lawrence/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBath.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceCloset.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceLiving.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Bathroom.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Entrance.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Kitchen.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room.jpg?&quality=85']","1 bedroom, 1 bathroom apartment with 492 square feet in Floor Plan Style B. Includes heat & hot water. Equipped for Bell Aliant Fibe™ TV, Internet and Home Phone. Fort Lawrence is a five storey building situated in the convenient West End of Halifax. Located on a lovely tree-lined Street and within minutes from the Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. The property features well maintained grounds and units include large balconies. Building serviced by an elevator. Laundry facilities feature coinless operating system. Well kept, secure building with Resident Managers on-site. Exterior parking available*. On main bus routes for easy access to Universities and downtown business or shopping. Minutes to Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. Pet Policy: 1 cat allowed.",https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85,2024-03-27 18:42:08,1.2742940373530052,2.2841781413511475,1.365045792079909,2.007242302539669,4.680812262986254,0.2927988781134105,"Halifax Infirmary, 1796 Summer St South End, Halifax, NS B3H 3A7"
Fort Lawrence - 1 Bedroom Style C,Fort Lawrence - 1 Bedroom Style C,-1,"3065 Olivet Street, Halifax, NS B3L 3Z8",44.648461,-63.62400689999999,Resident Manager - Courtney Desmond,-1,,1,1.0,-1,1,-1,3,-1,"['Refrigerator', 'Stove']",0,62,29,1.8636297701509963,-1,-1,-1,-1,492,-1,0,-1,-1,0.4505098249737509,0.5827545079211527,0.5003843729776569,http://apartments.southwest.ca/apartments/ns/halifax/fort-lawrence/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior3.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBath.jpg?crop=(0,0,300,224)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceBed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceCloset.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceKitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceLiving.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Bathroom.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Den.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Entrance.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Kitchen.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room 2.jpg?&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/23 Room.jpg?&quality=85']","1 bedroom, 1 bathroom apartment with 492 square feet in Floor Plan Style C. Includes heat & hot water. Equipped for Bell Aliant Fibe™ TV, Internet and Home Phone. Fort Lawrence is a five storey building situated in the convenient West End of Halifax. Located on a lovely tree-lined Street and within minutes from the Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. The property features well maintained grounds and units include large balconies. Building serviced by an elevator. Laundry facilities feature coinless operating system. Well kept, secure building with Resident Managers on-site. Exterior parking available*. On main bus routes for easy access to Universities and downtown business or shopping. Minutes to Halifax Shopping Centre, and The Village at Bayer’s Road Professional Centre. Pet Policy: 1 cat allowed.",https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480416/FortLawrenceExterior1.jpg?&quality=85,2024-03-27 18:42:08,1.2742940373530052,2.2841781413511475,1.365045792079909,2.007242302539669,4.680812262986254,0.2927988781134105,"Halifax Infirmary, 1796 Summer St South End, Halifax, NS B3H 3A7"
190 Glenforest Drive,190 Glenforest Drive,-1,"190 Glenforest Drive, Halifax, NS B3M 1J1",44.6565143,-63.64677030000001,SouthWest,-1,,2,1.0,1,1,-1,0,-1,"['Fridge', 'Stove']",1,-1,-1,-1.0,-1,-1,-1,-1,874,-1,0,-1,-1,0.5074745848528701,0.3696703020247699,0.5241134903249268,http://apartments.southwest.ca/apartments/ns/halifax/190-glenforest-drive/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190GlenforestExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Kitchen2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Kitchen.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Bed.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190Live.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Welcome to 190 Glenforest Drive. This three storey building is conveniently located in Clayton Park in the quiet apartment community of Glenwood. The building is situated on a large property with beautiful grounds and an exterior common area complete with a deck and picnic tables for resident use. RENT INCLUDES: HEAT & HOT WATER. Great unit layouts with eat-in kitchens. Spacious in-unit storage. Laundry facilities feature coinless operating system. On-site Resident Manager. Exterior parking available. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone. Close to grocery stores, Canada Games Centre, Bayers Lake Shopping, and Mount Saint Vincent University.","https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480434/190GlenforestExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85",2024-03-27 18:42:08,1.0126010909859096,3.47827896488267,0.2613081703177086,1.1696972434338897,3.549017187350214,1.4943184721955105,
The Grainery Lofts,The Grainery Lofts,-1,"927 South Bland St., Halifax, NS B3H 2S6",44.6336707,-63.5715612,Resident Managers - Kevin and Carolyn Murphy,-1,,-1,-1.0,-1,-1,-1,3,-1,"['Refrigerator', 'Stove', 'Dishwasher', 'Washer', 'Dryer']",1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,3,-1,-1,0.3336597172489633,0.3191518407130427,0.6726106480508929,http://apartments.southwest.ca/apartments/ns/halifax/the-grainery-lofts/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739292.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739295.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739296.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739297.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739298.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739299.jpg?crop=(0,0,297,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739300.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739301.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739302.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739303.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739304.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739305.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739306.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739307.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1874235.jpg?crop=(0,0,300,217)&cropxunits=300&cropyunits=217&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryRooftop.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryBBQ.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryRooftop2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryFitness(1).jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryFitness2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/GraineryUpperLounge.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Award-winning building with modern designer suites, rooftop terrace, fully-equipped fitness center, pet friendly, smoke-free. In-suite air conditioning, washer and dryer, private balcony, granite countertops, stainless steel appliances, concrete ceilings, exposed ductwork. Utilities: Electricity, cold & hot water are billed separately. On-site parking available. Equipped for Bell Aliant TV, Internet & Home Phone Fibe™. Pet friendly policy allows cats.","https://cdngeneralcf.rentcafe.com/dmslivecafe/3/290038/3_290038_1739292.jpg?crop=(0,0,300,169)&cropxunits=300&cropyunits=169&quality=85",2024-03-27 18:42:08,0.4271603236296453,0.8920335065511934,4.112845089115343,4.538990061486447,7.272868973607581,2.539283453487016,
The Terrace - Floor Plan Style A,The Terrace - Floor Plan Style A,-1,"961 South Bland St., Halifax, NS B3H 4M6",44.6346567,-63.57211109999999,Resident Manager - Jeff Baker,-1,,1,1.0,1,1,-1,3,-1,"['Fridge', 'Stove']",2,-1,-1,-1.0,-1,-1,-1,-1,585,-1,0,-1,-1,0.2604643276513683,0.3169891872580686,0.62139598374866,http://apartments.southwest.ca/apartments/ns/halifax/the-terrace/index.aspx,https://apartments.southwest.ca/searchlisting.aspx,"['https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961SunRoom2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitLivingSpace2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/961UnitPassThru.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceLobby.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB1.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB2.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB4.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB5.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB7.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB8.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB9.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB10.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85', 'https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/SB11.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85']","Studio apartment with 1 bathroom. Features oak kitchen cabinetry, ceramic tile flooring, and sun rooms. Coinless laundry system available. On-site storage and secure building with parking options. Equipped for Bell Aliant Fibe™ TV, Internet & Home Phone.","https://cdngeneralcf.rentcafe.com/dmslivecafe/3/480423/TheTerraceExterior.jpg?crop=(0,0,300,225)&cropxunits=300&cropyunits=225&quality=85",2024-03-27 18:42:08,0.4240624535077784,0.8187774674743953,4.058446711215379,4.4763823201791695,7.20945106720092,2.4862923356015103,
