iter	RMSE
0	663.2985127
1	658.0962524
2	652.7498747
3	648.5721358
4	644.7261853
5	640.4167106
6	636.7046846
7	632.6470401
8	629.0073711
9	625.078548
10	621.1150495
11	617.6055524
12	614.2337716
13	611.4379871
14	609.7867813
15	605.8591436
16	602.7132439
17	599.6242887
18	597.58553
19	594.3751625
20	592.3259688
21	590.3578067
22	587.2394325
23	584.5827996
24	582.0367545
25	580.0556882
26	578.3416948
27	576.1602923
28	574.5386659
29	572.4129179
30	571.107082
31	569.2985743
32	567.0702641
33	565.050746
34	563.5582548
35	562.4941162
36	561.1562198
37	560.0723568
38	558.3141109
39	556.938283
40	555.6214686
41	554.7737188
42	552.9849347
43	550.9990405
44	549.9467926
45	548.2662685
46	546.7087636
47	545.5202569
48	544.0744116
49	542.189464
50	539.9923168
51	538.2149888
52	536.6014389
53	534.3101475
54	532.7465827
55	531.4206991
56	529.7933267
57	528.8159534
58	528.1683655
59	527.425826
60	526.1624204
61	524.7268082
62	523.1178518
63	521.5782982
64	520.3510078
65	518.6038843
66	517.3211103
67	516.102305
68	514.3738612
69	513.6795188
70	512.1826377
71	510.4582598
72	508.6903846
73	507.632147
74	506.8031028
75	505.2171625
76	504.9164004
77	504.246667
78	503.2048844
79	502.7162278
80	501.8577934
81	501.0363538
82	499.6408226
83	498.4529083
84	497.8780763
85	497.4918025
86	496.9821962
87	496.5279826
88	495.654125
89	494.9923281
90	493.3679497
91	492.123173
92	491.2503642
93	490.6271381
94	489.7825089
95	488.8826848
96	488.317103
97	487.3662163
98	486.2252887
99	484.2955069
100	483.2077187
101	482.0777155
102	481.5443525
103	480.34663
104	479.3736079
105	478.0399367
106	477.5165155
107	476.609565
108	475.729617
109	475.139412
110	474.0642669
111	473.0805997
112	472.5407158
113	471.340847
114	470.9320928
115	470.4556314
116	469.9241215
117	469.4131381
118	468.5870913
119	468.1008256
120	467.4681097
121	466.5357394
122	466.1106373
123	465.5315584
124	464.4994038
125	463.4644623
126	462.9220359
127	462.0054949
128	461.6900912
129	461.2019557
130	460.6184573
131	460.0580378
132	458.9499734
133	458.715825
134	457.7074137
135	457.4476055
136	456.5898816
137	455.8397159
138	455.0316617
139	454.0034202
140	453.4698395
141	451.9867578
142	451.6617921
143	450.9471008
144	450.3440728
145	450.0935904
146	449.1258388
147	448.3709761
148	447.8903599
149	447.4504892
150	446.6371261
151	445.1439394
152	444.1224788
153	443.4684108
154	443.1470142
155	442.7945407
156	442.4554034
157	441.5633815
158	440.7586723
159	440.0879859
160	439.4552346
161	438.575798
162	437.6797044
163	437.3019799
164	436.2512806
165	435.9305967
166	435.6992408
167	434.7344592
168	434.251333
169	433.5215234
170	433.1612589
171	432.6676034
172	431.890652
173	431.0954503
174	430.0283014
175	429.4349299
176	428.6890479
177	428.2112565
178	427.5411561
179	426.7724247
180	425.7030139
181	424.87767
182	424.2936936
183	424.0286775
184	423.7238943
185	422.8935926
186	422.146405
187	421.6879468
188	421.3280336
189	420.9601221
190	420.3762345
191	419.8888102
192	419.2573814
193	418.6191123
194	418.5034148
195	417.6975527
196	417.2728435
197	417.1103583
198	416.4235474
199	415.9044777
200	415.507807
201	415.0139781
202	413.6302802
203	413.5076506
204	412.9296288
205	412.2698173
206	411.5793939
207	411.4110916
208	411.2532813
209	411.0515523
210	410.4757333
211	409.6771053
212	409.5532532
213	409.0851878
214	408.3907096
215	407.6769051
216	407.5301485
217	406.6521746
218	406.1606951
219	405.8659626
220	405.3631144
221	405.1055748
222	404.9739421
223	404.8545187
224	404.0199573
225	403.7629223
226	403.3763529
227	402.1930891
228	400.9256275
229	399.9415468
230	399.8004784
231	399.2187771
232	398.8647367
233	398.7382969
234	398.5698733
235	398.3738159
236	397.8533137
237	397.6262655
238	396.9710783
239	396.8453535
240	396.188819
241	395.9910002
242	395.8584666
243	394.9916795
244	394.8140846
245	394.619925
246	394.4069521
247	394.3024131
248	394.1791403
249	394.0593293
250	393.9549587
251	393.8246308
252	393.3897791
253	392.775215
254	392.2171864
255	392.1078741
256	391.3258552
257	390.4815551
258	390.3835969
259	390.2165132
260	390.1098597
261	388.7591556
262	387.9402382
263	386.6990375
264	385.9341048
265	385.7967913
266	385.6633566
267	385.5753618
268	384.7575724
269	383.8982522
270	383.2307689
271	382.6024944
272	382.186396
273	382.0606727
274	381.3661805
275	381.2819502
276	380.5282444
277	379.3826818
278	378.639613
279	378.2292831
280	378.0759728
281	377.5362272
282	376.8526966
283	376.7729974
284	376.6885733
285	376.0280988
286	375.3462956
287	375.0014506
288	373.8085468
289	373.162722
290	372.1818426
291	371.5260859
292	370.9224164
293	370.5515719
294	369.2672343
295	368.6296965
296	368.1947216
297	367.8235115
298	367.4626485
299	366.7817023
300	366.1921999
301	365.3675073
302	364.2418469
303	363.6214367
304	362.9123351
305	362.2209995
306	361.6138276
307	361.31774
308	359.8808855
309	359.2457904
310	358.2216791
311	357.5199996
312	356.7662805
313	356.3740317
314	355.6250227
315	354.8189901
316	354.4810118
317	354.1312918
318	353.5539289
319	352.9494582
320	351.6098704
321	351.2363656
322	350.7145126
323	350.6044311
324	350.1099426
325	349.4934185
326	348.7060209
327	348.3547917
328	347.7894873
329	346.5356357
330	346.2463359
331	346.159693
332	345.7164668
333	345.5847719
334	345.1402006
335	344.8561019
336	344.3330418
337	343.7934669
338	343.6662702
339	343.1956491
340	342.5493452
341	342.2909975
342	341.8503916
343	341.2821404
344	340.7826064
345	340.7043016
346	340.5863813
347	340.0619773
348	339.4556346
349	338.831106
350	338.6656872
351	338.3787095
352	337.5021191
353	336.9437474
354	336.2962758
355	335.7869644
356	334.5980336
357	334.1448086
358	333.8738539
359	333.7096428
360	333.5893921
361	333.2834377
362	332.8270444
363	331.895046
364	331.28878
365	331.0022305
366	330.6180947
367	329.9265438
368	329.4313772
369	329.0266784
370	328.5828569
371	328.323422
372	327.7486697
373	327.3514466
374	326.8495245
375	326.2777604
376	325.8484037
377	325.4176236
378	325.3699945
379	325.0390088
380	324.550155
381	323.9646194
382	323.5190374
383	323.0074203
384	322.6250745
385	322.4787522
386	322.0641526
387	321.8163946
388	321.6936772
389	321.110787
390	320.7782119
391	320.457339
392	320.347325
393	319.5492374
394	319.1137497
395	318.7286809
396	318.2572428
397	317.906392
398	317.5490821
399	317.0547338
400	316.7827564
401	316.6437473
402	316.539765
403	316.402599
404	315.7884509
405	315.5314901
406	315.1871323
407	314.7205133
408	314.4957246
409	313.9182991
410	313.7517991
411	313.4809387
412	313.3272194
413	313.2882902
414	312.7707569
415	311.8574726
416	311.5787294
417	311.2314945
418	310.8960286
419	310.6375442
420	310.2746759
421	309.540057
422	308.9808014
423	308.7922361
424	308.5384541
425	308.1667911
426	307.7965398
427	307.0342115
428	306.7259361
429	305.958483
430	305.5252153
431	305.0512651
432	305.0099457
433	304.8258424
434	304.7857393
435	304.7464571
436	304.6616388
437	304.2501047
438	304.2177617
439	303.8683418
440	303.1473848
441	302.7608192
442	302.4394871
443	302.1562365
444	301.8067385
445	301.4766966
446	301.2705899
447	301.0291166
448	300.8019236
449	300.2191738
450	299.9832033
451	299.7856965
452	299.7109465
453	299.6555815
454	299.4134885
455	299.0760879
456	298.8322063
457	298.4997938
458	297.960866
459	297.5671173
460	297.3452321
461	296.8946457
462	296.5629597
463	296.1917959
464	295.7555663
465	295.3048128
466	294.8514967
467	294.2485038
468	293.8307529
469	293.3776246
470	293.3438094
471	292.6248754
472	292.1899344
473	291.9104638
474	291.6212567
475	290.9340624
476	290.7143576
477	290.5933199
478	290.4577483
479	290.2561095
480	289.6988642
481	289.292284
482	289.0392437
483	288.9301018
484	288.9016068
485	288.5578743
486	288.1947495
487	287.8837376
488	287.4503552
489	286.8866407
490	286.5081565
491	286.2454936
492	286.2010348
493	285.7075683
494	285.4664267
495	285.4345378
496	285.067337
