address,lot,price
"1276 South Park Street, South End, Halifax, NS B3H 2Y9",760,101.5
"5280 Green St South End, Halifax, NS B3H 1N7",75,700
"1530 Birmingham St, Downtown Halifax, Halifax, NS, B3J 3T1",200,140
"5250 Spring Garden Rd, Downtown Halifax, Halifax, NS, B3J 1E7",66,140
"1247-1251 Hollis StSouth EndHalifax, NS B3J 1T5",62,4344
"1517 Grafton St, Downtown Halifax, Halifax, NS, B3J 2B9",46,322
"1161 Hollis St, South End Halifax, NS B3H 2P6",14,294
"1531 South Park St, Downtown Halifax, Halifax, NS B3J 4B3",300,574
"1583 Brunswick St, Downtown Halifax, NS, B3J 3P5",252,252
"1583 Brunswick St, Downtown Halifax, Halifax, NS B3J 3P5",25,252
"5765 University Ave, Downtown Halifax, Halifax, NS, B3H 4K4",79,101.5
"5550 Annandale St, Downtown Halifax, Halifax, NS B3J 3R4",440,230
"5562 Annandale St, Downtown Halifax, Halifax, NS B3J 3T6",48,336
"The Plazza of Bishop’s Landing 1475 Lower Water St Downtown Halifax, Halifax, NS B3J 3Z2",44,62
"1146 Marginal Rd, South End, Halifax, NS B3H 4N4",129,115
"1215 Marginal Rd South End Halifax, NS B3J 2P6",59,20
"1521 Lower Water St, Downtown Halifax, Halifax, NS, B3J 3Z3",320,1120
"1556 Hollis St, Downtown Halifax, NS B3J 1W7",416,140
"Queen Elizabeth II Health Sciences Centre - Dickson Building, 5820 University Avenue, South End, Halifax, NS B3H 2Y9",118,101.5
"Sackville Street, Downtown Halifax, Halifax, NS B3J 1L1",40,280
"1549 Lower Water St, Downtown Halifax, Halifax, NS B3J 1S2",134,434
"1215 Marginal Road South End Halifax, NS B3H 4N4",175,294
"5846 South StSouth End, Halifax, NS B3H 1S6",290,2900
"1600 Lower Water St, Downtown Halifax, Halifax, NS, B3J 1V4",88,145
"1650 Grafton St Downtown Halifax, Halifax, NS, B3J 2C3",30,168
"1215 Marginal Road South End Halifax, NS B3H 4N4",218,294
"5960 University Avenue South End Halifax, NS B3H 1V7",495,98
"C1215 Marginal Rd South End, Halifax, NS B3H 4P7",209,294
"Maritime Museum of the Atlantic, 1655 Lower Water St, Downtown Halifax, Halifax, NS B3J 1S3",18,434
"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",240,280
"1730 Granville Street, Downtown Halifax, NS B3J 1X5",38,266
"5991 Spring Garden Road, South End, Halifax, NS, B3H 1Y6",189,434
"1747 Summer Street, Downtown Halifax, Halifax, NS B3H 3A6",51,224
"920 Tower Rd, South End, Halifax, NS B3H 1K8",10,294
"Halifax Infirmary, 1796 Summer St South End, Halifax, NS B3H 3A7",29,62
"1815 Upper Water St, Downtown Halifax, Halifax, NS, B3J 1S7",150,150
"1815 Upper Water St, Downtown Halifax, Halifax, NS, B3J 1S7",18,195
"1796 Summer St SouthEnd Halifax, NS B3H 3A7",12,434
"866 Portland Hills Woodside Dartmouth, NS B2W 2N3",230,14
"866 Portland Hills Woodside Dartmouth, NS B2W 2N3",230,14
"Cobequid Terminal Lot, 50 Cobequid Rd, Halifax, NS B4C 2N2",144,0
1815 Upper Water Street,16,180
5846 South Street,13,95
1600 Lower Water Street,15,604.8
5250 Spring Garden Road,14,604.8
