listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,units_or_size,permit_Value
The Abraham,"2180 Robie Street, Halifax",Commons View Holdings Ltd,$22.4M,9,108,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231230_1443154408972597760767942.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/30/the-abraham/,Halifax Regional Municipality development blog,,
The Avalon,"22 Hamlet Lane, Dartmouth",Pinnacle Construction,$17.0 M,10,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240411_1401081770678616132616362.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/13/the-avalon/,Halifax Regional Municipality development blog,90,
The Avalon,"22 Hamlet Lane, Dartmouth",Pinnacle Construction,$17.0 M,10,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240301_1401342038598857651699188.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/02/22-hamlet-lane-3/,Halifax Regional Municipality development blog,90,
22 Hamlet Lane,"22 Hamlet Lane, Dartmouth",Unknown,$17.0 M,10,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1348022331068749895340363.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/27/22-hamlet-lane-2/,Halifax Regional Municipality development blog,90,
22 Hamlet Lane,"22 Hamlet Lane, Dartmouth",Pinnacle Homes,-1,10,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240105_1428362291015044194480343.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/07/22-hamlet-lane/,Halifax Regional Municipality development blog,90,
Admiral’s Corner Apartments,"2828 Gottingen Street, Halifax",Cornerstone Developments,$3.9 M,7,40,Residential,https://halifaxdevelopments.files.wordpress.com/2024/05/20240503_174222676199027142023765.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/04/admirals-corner-apartments-6/,Halifax Regional Municipality development blog,,
Admiral’s Corner Apartments,"2828 Gottingen Street, Halifax",Cornerstone Developments,$3.9 M,7,40,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240413_1504564605573963112085601.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/16/admirals-corner-apartments-5/,Halifax Regional Municipality development blog,,
Admiral’s Corner Apartments,"2828 Gottingen Street, Halifax",Cornerstone Developments,$3.9 M,7,40,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240405_1258432059693543625194611.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/05/admirals-corner-apartments-4/,Halifax Regional Municipality development blog,,
Admiral’s Corner Apartments,"2828 Gottingen Street, Halifax",Cornerstone Developments,$3.9 M,7,40,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240321_1323211439106212687294998.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/24/admirals-corner-apartments-3/,Halifax Regional Municipality development blog,,
Admiral’s Corner Apartments,"2828 Gottingen Street, Halifax",Cornerstone Developments Ltd,$3.9M,7,40,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231209_133021.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/10/admirals-corner-apartments/,Halifax Regional Municipality development blog,,
B Young,"6460 Bayers Road, Halifax",Split Rock Property Management,-1,6,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240323_1445425310294283036131353.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/27/b-young/,Halifax Regional Municipality development blog,-1,
Bayers + Young,"6460 Bayers Road, Halifax",Split Rock Property Management,-1,6,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240316_184511389387468369309964.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/17/bayers-young-2/,Halifax Regional Municipality development blog,-1,
B. Young (Bayers & Young),-1,-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
Bayers & Young,-1,-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
Bedford Square,"40 Taviton Street, Halifax",Shannex Developments,$42.1 M,8,154,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240428_1617023157967828418939944.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/01/bedford-square-3/,Halifax Regional Municipality development blog,,
Bedford Square,"40 Taviton Street, Halifax",Shannex Developments,$42.1 M,8,154,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240324_1629438708033569362598875.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/27/bedford-square-2/,Halifax Regional Municipality development blog,,
Bedford Square,"40 Taviton Street, Halifax",Shannex Developments,$42.1 M,8,154,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240211_1340378861999465470079838.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/12/bedford-square/,Halifax Regional Municipality development blog,,
Bedford Square,"40 Taviton Street, Halifax",-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231225_1248228032418637382502043.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/27/shannex-bedford/,Halifax Regional Municipality development blog,,
The Bello,"2 Montebello Drive, Dartmouth",Yellowstone Commercial,$9.2M,6,42,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240326_1420272112734793363558805.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/29/the-bello-3/,Halifax Regional Municipality development blog,,
The Bello,"2 Montebello Drive, Dartmouth",Yellowstone Commercial,$9.2M,6,42,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240202_1410081902631161031777287.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/04/the-bello-2/,Halifax Regional Municipality development blog,,
The Bello,"5 Montobello Drive, Dartmouth",Yellowstone Commercial Holdings Ltd,$9.2M,5,40,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231212_141152.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/14/the-bello/,Halifax Regional Municipality development blog,,
Boa Vista,"45 Dawson Street, Dartmouth",RoMa Developments,$20.6 M,16,114,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240409_134115968317595148369240.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/12/boa-vista-2/,Halifax Regional Municipality development blog,,
Boa Vista,"153 Wyse Road, Dartmouth",RoMa Developments,$20.6 M,16,114,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240207_1421274424170378527968547.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/boa-vista/,Halifax Regional Municipality development blog,,
153 Wyse Road,"153 Wyse Road, Dartmouth",-1,$20.6M,16,114,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231218_1414084092097612748112833.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/20/153-wyse-road-3/,Halifax Regional Municipality development blog,,
153 Wyse Road,-1,-1,-1,16,114,Mixed-Use,-1,-1,Halifax Regional Municipality development blog,,
-1,-1,-1,-1,16,114,Mixed-Use,-1,-1,Halifax Regional Municipality development blog,,
Cedar Ridge,"35 Lynnett Road, Halifax",FH Development Group,$5.0 M,4,40,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1529335070260692190782430.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/30/cedar-ridge/,Halifax Regional Municipality development blog,,
Compass Co-Operative,"2095 Maitland Street, Halifax",Compass Co-operative Homes Ltd,-1,6,,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240101_1353375892600938231458752.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/02/compass-co-operative/,Halifax Regional Municipality development blog,57,
