civic_address,floors,units_or_size,building_type,permit_value,latest_update
BEDFORD SQUARE (40 HUNTLEY) (HFX) , 6 Floors , 144 Beds , LTC , $16.9M , BP Issued Feb 12.
COUNTRY MEADOWS (1531 LUCASVILLE) (HPR) , 3 Floors , ? Units , RES , ? Value , GAP Submitted Feb 28.
DARTMOUTH TOWERS (20 BEST) (DART) , ? Floors , ? Units , MU , ? Value , BLAS Issued Mar 15.
"EVENTIDE, THE (1540 CARLTON) (HFX) ", 9 Floors , 55 Units , RES , $22.0M ," BP Issued Apr 09, BLAS Issued Mar 22."
"FAIRWAY, THE (3539 JOSEPH HOWE) (HFX) ", 2×8 Floors , 148 Units , RES , $26.6M , BP Issued Apr 05.
GEM PRINCETON LTC (2 MARIE) (HFX) , 3 Floors , 128 Beds , LTC , $55.1M , BP Submitted Mar 01.
HOLIDAY INN EXPANSION (335 JOHN SAVAGE) (DART) , 4 Floors , ? Rooms , HOT , $6.7M ," GAP Submitted Apr 15, BP Submitted Apr 11."
KING’S WHARF BUILDING 6 (XX KING’S WHARF) (DART) , 15 Floors , ? Units , MU , ? Value , GAP Submitted May 02.
LAKESIDE COMMUNITY CENTRE (1492 ST MARGARETS BAY) (LAKE) , 1 Floor , 1’492m2 , REC , $20.1M , BP Issued Apr 19.
MACARA PRESIDO (5510 MACARA STREET) (HFX) , 7 Floors , 72 Units , MU , $12.0M ," BP Issued Apr 08, GAP Issued Mar 21."
MOFFATT’S PHARMACY II (184 PORTLAND) (DART) , 9 Floors , 175 Units , MU , $28.0M ," GAP Issued Apr 18, BP Submitted in 2023."
"NOOK II, THE (2487 MAYNARD) (HFX) ", 5 Floors , 29 Units , RES , $5.5M , GAP Issued Mar 27.
OPAL RIDGE BLOCK “G” (XX MORADO LANE) (DART) , 6 Floors , 88 Units , RES , $16.9M , BP Submitted May 01 (PID 41538372).
PORT WEST (3644 DUTCH VILLAGE ROAD) (HFX) , 8 Floors , 74 Units , MU , $12.4M , CRANE Issued Feb 22.
REGENCY AT SACKVILLE DOWNS III (100 ARKLE) (LSAC) , 7 Floors , 100 Units , RES , $19.5M , GAP Issued Feb 16.
RICHMOND YARDS RA (6016 ALMON) (HFX) , 7 Floors , 75 Units , MU , $12.2M , BLAS Issued Jan 08.
SOQU RESIDENCES (6353 PEPPERELL) (HFX) , 8 Floors , 155 Units , MU , $19.3M ," GAP Issued Jan 16, BP Issued Mar 20, BLAS Issued Mar 28."
STONEMOUNT AT LOON LAKE (WEST) , 2x? Floors , 600 Units , LTC , ? Value , DOP Issued Jan 12.
2730 AGRICOLA STREET (HFX) , ? Floors , ? Units , MU , ? Value , DEM Issued May 02.
2254 BARRINGTON STREET (HFX) , 7 Floors , 117 Units , RES , $36.0M ," GAP Submitted May 02, BP Issued Feb 22."
398 BEAVER BANK ROAD (BEAV) , ? Floors , 76 Units , RES , ? Value , DOP Submitted Feb 14.
1529-35 BIRMINGHAM STREET (HFX) , ? Floors , ? Units , ? Use , ? Value , DEM Issued Apr 29.
75 BROOKLINE DRIVE (BFD) , 11 Floors , 154 Units , RES , $38.0M ," BP Issued Apr 24, GAP Issued Mar 07."
22 BRULE STREET (DART) , 4 Floors , 38 Units , RES , $3.2M , GAP Issued Jan 24.
16 CARVER STREET (DART) , 6 Floors , 81 Units , MU , ? Value , DOP Submitted Apr 14.
