iter	RMSE
0	489.9257689
1	478.2563431
2	466.2444039
3	454.5953882
4	444.7419001
5	434.9584809
6	425.441833
7	415.4166026
8	406.4809672
9	397.696927
10	389.8164653
11	381.7020568
12	373.4057468
13	366.3397296
14	359.8400221
15	352.5131004
16	345.7844708
17	338.4264676
18	332.1391043
19	326.2444391
20	320.7335581
21	316.00657
22	310.9384584
23	305.8453741
24	300.4697523
25	295.5700146
26	291.3041483
27	286.5792471
28	282.6349227
29	278.9099883
30	275.1261632
31	271.6433733
32	268.1363364
33	264.966494
34	261.5733534
35	258.4477157
36	255.756907
37	253.4387332
38	251.7125566
39	249.1898353
40	246.9941371
41	244.7896085
42	242.5822928
43	240.2283714
44	237.9070981
45	235.9776436
46	233.9587153
47	231.9809054
48	230.0329029
49	228.384592
50	226.8920891
51	225.4131209
52	224.1640448
53	222.7342742
54	221.2610299
55	220.1287962
56	218.9668635
57	217.4018984
58	216.2386602
59	215.0731988
60	214.1407387
61	213.1150239
62	211.8605334
63	210.8525884
64	209.8006033
65	208.9791641
66	208.2816529
67	207.2223722
68	206.4884717
69	205.8525343
70	205.0397984
71	204.4332675
72	203.5736505
73	202.9207857
74	202.1218427
75	201.4152055
76	200.7114763
77	199.8399762
78	199.1979714
79	198.5764392
80	198.0243181
81	197.2330207
82	196.6532712
83	195.8506338
84	195.3813858
85	194.9086891
86	193.9662258
87	193.3635548
88	192.471784
89	191.5256601
90	190.6475006
91	190.1642721
92	189.6001968
93	189.2262151
94	188.3709505
95	187.6841636
96	187.2253931
97	186.8874794
98	186.3547431
99	185.9236989
100	185.431075
101	184.8994639
102	184.4426917
103	184.0530706
104	183.9524706
105	183.5104914
106	182.9977094
107	182.7556953
108	182.3063535
109	181.8184469
110	181.5281434
111	181.3014943
112	181.0239808
113	180.5053561
114	180.0979346
115	179.4958887
116	179.105195
117	178.5791462
118	178.3132495
119	178.1665636
120	177.782398
121	177.5661161
122	177.1173247
123	176.5877054
124	176.3324946
125	175.8977614
126	175.4197161
127	174.8829182
128	174.5241624
129	173.9475323
130	173.5482211
131	173.0789079
132	172.7198852
133	172.5706181
134	172.2317997
135	171.7227831
136	171.2823318
137	171.0297216
138	170.7486195
139	170.5100801
140	170.4742281
141	170.03135
142	169.8485582
143	169.5190529
144	169.1163217
145	168.8152888
146	168.4739598
147	168.1422153
148	167.76229
149	167.4991079
150	167.2780389
151	166.9477002
152	166.7576473
153	166.5517237
154	166.3724682
155	166.1583185
156	165.8102021
157	165.5719403
158	165.2200076
159	165.0746168
160	164.6674093
161	164.1695189
162	163.8993532
163	163.4480123
164	163.0665528
165	162.8161227
166	162.3367773
167	162.0258283
168	161.5321391
169	161.2160745
170	160.7455694
171	160.3575253
172	160.1477405
173	159.7528019
174	159.3715686
175	159.0659944
176	158.702666
177	158.2615937
178	158.0455011
179	157.8042431
180	157.41706
181	157.0500823
182	156.6980653
183	156.2037217
184	156.0534125
