iter	Passed	Remaining
0	0	804
1	1	917
2	2	883
3	3	933
4	4	860
5	4	810
6	5	776
7	5	717
8	6	697
9	6	675
10	7	660
11	7	641
12	8	624
13	8	615
14	9	608
15	9	603
16	10	598
17	10	579
18	11	574
19	11	568
20	12	564
21	12	560
22	13	559
23	13	542
24	13	539
25	14	539
26	14	536
27	15	540
28	16	549
29	17	551
30	17	553
31	18	558
32	19	563
33	19	564
34	20	566
35	22	590
36	22	590
37	23	590
38	24	593
39	24	593
40	25	596
41	26	598
42	26	597
43	27	596
44	27	592
45	28	594
46	29	592
47	29	589
48	30	589
49	31	592
50	31	591
51	32	591
52	33	590
53	33	588
54	34	588
55	34	589
56	35	588
57	36	587
58	36	588
59	37	588
60	38	588
61	38	588
62	39	589
63	40	590
64	41	589
65	41	591
66	41	584
67	42	583
68	43	585
69	43	580
70	44	580
71	45	580
72	45	580
73	46	579
74	46	579
75	47	577
76	48	577
77	48	577
78	49	576
79	50	577
80	50	577
81	51	575
82	52	575
83	52	577
84	53	578
85	54	578
86	55	578
87	55	578
88	56	578
89	57	577
90	57	578
91	58	579
92	59	580
93	60	579
94	60	579
95	61	580
96	62	579
97	62	579
98	63	579
99	64	579
100	65	579
101	65	579
102	66	579
103	67	579
104	67	574
105	68	574
106	68	574
107	69	574
108	70	572
109	70	573
110	71	573
111	72	574
112	73	574
113	73	574
114	74	574
115	75	573
116	75	572
117	76	572
118	77	571
119	77	570
120	78	569
121	79	568
122	79	569
123	80	568
124	81	568
125	81	567
126	82	568
127	83	568
128	84	567
129	84	568
130	85	567
131	86	567
132	87	568
133	87	567
134	88	565
135	88	564
136	89	563
137	89	562
138	90	560
139	91	559
140	91	557
141	92	556
142	92	556
143	93	555
144	94	554
145	94	554
146	95	554
147	96	554
148	96	553
149	97	553
150	98	553
151	99	553
152	99	552
153	100	552
154	101	551
155	101	551
156	102	550
157	103	550
158	103	549
159	104	549
160	105	548
161	106	548
162	106	547
163	107	547
164	107	546
165	108	545
166	109	544
167	110	549
168	111	549
169	112	548
170	113	547
171	113	546
172	114	545
173	114	544
174	115	544
175	116	543
176	116	542
177	117	542
178	118	542
179	118	541
180	119	541
181	120	540
182	121	540
183	121	539
184	122	538
185	122	538
186	123	537
187	124	537
188	125	536
189	125	536
190	126	535
191	127	535
192	127	534
193	128	534
194	129	534
195	130	533
196	130	533
197	131	532
198	132	532
199	133	532
200	134	533
201	134	533
202	135	532
203	136	531
204	137	531
205	137	531
206	138	530
207	139	530
208	139	529
209	140	528
210	141	528
211	142	528
212	142	527
213	143	526
214	144	526
215	144	525
216	145	524
217	146	524
218	146	523
219	147	522
220	148	522
221	149	522
222	149	522
223	150	521
224	151	521
225	152	520
226	152	520
227	153	519
228	154	518
229	154	518
230	155	517
231	156	516
232	156	516
233	157	515
234	158	514
235	158	513
236	159	513
237	160	512
238	160	511
239	161	511
240	162	510
241	163	510
242	163	509
243	164	509
244	165	508
245	165	508
246	166	507
247	167	506
248	167	506
249	168	505
250	169	504
251	169	503
252	170	502
253	170	502
254	171	501
255	172	500
256	172	500
257	173	499
258	174	498
259	175	498
260	175	497
261	176	496
262	176	495
263	177	495
264	178	494
265	178	493
266	179	492
267	180	492
268	180	491
269	181	490
270	182	490
271	182	489
272	183	488
273	184	488
274	184	487
275	185	487
276	186	486
277	187	486
278	187	485
279	188	484
280	189	484
281	189	483
282	190	482
283	191	482
284	191	481
285	192	480
286	193	479
287	193	479
288	194	478
289	195	477
290	195	476
291	196	476
292	197	475
293	197	475
294	198	474
295	199	474
296	200	473
297	200	473
298	201	472
299	202	471
300	203	471
301	203	471
302	204	470
303	205	469
304	205	468
305	206	468
306	207	467
307	207	466
308	208	465
309	209	465
310	209	464
311	210	463
312	210	462
313	211	462
314	212	461
315	212	460
316	213	460
317	214	459
318	214	458
319	215	457
320	216	457
321	216	456
322	217	456
323	218	455
324	218	454
325	219	453
326	220	453
327	220	452
328	221	451
329	222	451
330	222	450
331	223	449
332	224	449
333	224	448
334	225	447
335	226	446
336	226	446
337	227	445
338	228	444
339	228	443
340	229	443
341	230	442
342	230	441
343	231	441
344	232	440
345	232	439
346	233	439
347	234	438
348	234	437
349	235	437
350	236	436
351	236	436
352	237	435
353	238	434
354	239	434
355	239	433
356	240	433
357	241	432
358	241	431
359	242	431
360	243	430
361	244	430
362	244	429
363	245	428
364	246	428
365	247	427
366	247	427
367	248	426
368	249	426
369	249	425
370	250	424
371	251	423
372	251	423
373	252	422
374	252	421
375	253	421
376	254	420
377	255	419
378	255	419
379	256	418
380	257	417
381	257	417
382	258	416
383	259	415
384	259	415
385	260	414
386	261	413
387	261	413
388	262	412
389	263	411
390	263	411
391	264	410
392	265	409
393	265	408
394	266	408
395	267	407
396	268	407
397	268	406
398	269	406
399	270	405
400	270	404
401	271	404
402	272	403
403	272	402
404	273	401
405	274	401
406	275	400
407	275	400
408	276	399
409	277	399
410	278	398
411	278	397
412	279	397
413	280	396
414	281	396
415	282	395
416	282	395
417	283	394
418	284	393
419	284	393
420	285	392
421	285	391
422	286	391
423	287	390
424	288	389
425	288	389
426	289	388
427	290	387
428	290	387
429	291	386
430	292	385
431	293	385
432	293	384
433	294	383
434	295	383
435	295	382
436	296	382
437	297	381
438	297	380
439	298	380
440	299	379
441	299	378
442	300	378
443	301	377
444	301	376
445	303	376
446	304	376
447	305	375
448	305	375
449	306	374
450	307	373
451	307	373
452	308	372
453	309	372
454	310	371
