iter	RMSE
0	632.4516495
1	627.5915376
2	622.63806
3	618.2590089
4	614.413133
5	611.2927508
6	607.0170556
7	601.8305995
8	598.0946936
9	595.0301542
10	592.1710305
11	588.1680506
12	584.6418081
13	582.0762166
14	579.3366117
15	576.4450535
16	574.7334292
17	571.5028756
18	568.7971441
19	566.4718967
20	563.5387647
21	560.9044462
22	558.5745369
23	556.1226661
24	553.7712958
25	550.7763586
26	548.1106804
27	545.8072619
28	544.1949498
29	542.0781008
30	539.8708273
31	537.7827174
32	535.2105958
33	533.713832
34	531.8345887
35	530.4987488
36	528.981806
37	526.0657544
38	524.1785092
39	522.750986
40	521.2763953
41	519.1858731
42	517.6204165
43	516.4516496
44	515.3092463
45	513.8389894
46	512.2945439
47	510.5995902
48	509.2808464
49	507.5811897
50	506.8223347
51	505.5707762
52	503.8891772
53	501.7662345
54	500.0349246
55	498.7242061
56	497.617497
57	496.3891391
58	495.6819323
59	495.1555149
60	493.8041267
61	492.1894457
62	491.1211751
63	489.8541681
64	488.2049287
65	487.8168506
66	487.3445199
67	486.3209976
68	485.5153067
69	484.7454029
70	483.7869187
71	483.1794406
72	482.4898106
73	481.2637458
74	479.9995361
75	478.700955
76	477.5481725
77	476.4522272
78	475.8596723
79	474.235339
80	472.6183775
81	471.8690281
82	470.2487049
83	469.29494
84	468.2835118
85	467.8956759
86	467.2616537
87	466.2832003
88	465.0604563
89	464.3062226
90	463.2964947
91	462.3465606
92	461.2966573
93	460.7068678
94	460.0298973
95	458.1603846
96	457.3139466
97	456.817948
98	455.7813234
99	455.0118245
100	454.1376323
101	453.6601565
102	452.9491521
103	452.3242505
104	450.8795448
105	450.6033499
106	450.3847365
107	449.5453072
108	449.0170302
109	448.3751742
110	447.004418
111	446.1116937
112	445.6656526
113	445.0207975
114	443.8995553
115	443.5567747
116	443.2677059
117	442.9632482
118	442.4387754
119	442.0712113
120	441.3472071
121	440.7210993
122	440.1541621
123	439.4217188
124	438.5684113
125	438.0001919
126	437.7422607
127	437.2812919
128	436.5047394
129	435.7619268
130	435.2428577
131	434.3592139
132	434.1894917
133	433.5570596
134	432.9055617
135	432.4634846
136	431.690259
137	431.1224214
138	429.8576463
139	429.4686037
140	428.8866186
141	428.450476
142	428.022071
143	427.5768251
144	426.7510828
145	426.1960577
146	425.9076163
147	425.4628139
148	424.3222833
149	423.5114464
150	423.1900319
151	422.7515763
152	422.2332042
153	421.4359265
154	421.1463083
155	420.6369491
156	420.0912039
157	419.4206171
158	418.5942533
159	418.2637765
160	417.2737707
161	416.9039071
162	416.2422976
163	415.8366401
164	415.2544561
165	413.462908
166	412.6706889
167	411.4611034
168	411.0268026
169	410.3549911
170	409.959275
171	409.2702587
172	408.6036971
173	407.8662017
174	407.2222113
175	406.7123274
176	406.0395293
177	405.5080327
178	405.0693072
179	404.26501
180	403.2901095
181	403.0123798
182	402.4009389
183	401.5659702
184	401.0800315
185	400.3323025
186	400.0684799
187	399.0354038
188	398.431698
189	397.9677055
190	397.0298989
191	396.3104659
192	396.0632665
193	395.8257385
194	395.2686197
195	394.8669432
196	394.0265718
197	393.7373372
198	392.228516
199	391.6329863
200	391.2479013
201	390.9468377
202	390.2521862
203	389.6611572
204	388.9904683
205	387.6077319
206	386.4624406
207	386.2110192
208	385.8318478
209	385.5108214
210	385.250209
211	384.1896218
212	383.7967809
213	383.5258923
214	383.2097018
215	382.9683581
216	382.5376457
217	381.7862152
218	380.5865567
219	380.247142
220	380.031648
221	378.7661528
222	378.2417747
223	378.0055299
224	377.7618876
225	377.3781609
226	377.1057197
227	376.8101308
228	376.5528895
229	375.5006942
230	374.6671028
231	374.2688836
232	374.0110783
233	373.5501225
234	372.8274187
235	372.3866153
236	371.9684238
237	371.6444476
238	370.8383283
239	370.1390626
240	369.8670989
241	369.2654551
242	368.620086
243	368.4483062
244	367.5433525
245	367.3174598
246	366.9984698
247	366.7183827
248	365.6587789
249	365.3620649
250	364.3691948
251	363.5566583
252	363.3522629
253	362.7712835
254	362.5375397
255	362.110193
256	361.4501504
257	361.2680621
258	360.6705513
259	360.3067355
260	360.0838877
261	359.7845943
262	359.2641587
263	359.0836992
264	358.6470005
265	358.1613021
266	357.2658715
267	357.0925065
268	356.9556413
269	356.2646778
270	356.1463553
271	355.8489287
272	355.5515843
273	355.3905753
274	355.2764323
275	354.9465859
276	353.980658
277	353.824863
278	353.1909104
279	352.4653954
280	352.1861172
281	352.0637263
282	351.9176824
283	351.7096633
284	350.8729508
