iter	Passed	Remaining
0	3	3864
1	7	3884
2	11	3931
3	15	3895
4	19	3893
5	24	3986
6	27	3927
7	33	4120
8	36	4067
9	41	4063
10	45	4051
11	48	4033
12	52	3991
13	56	3993
14	60	3964
15	64	3959
16	65	3803
17	70	3822
18	73	3796
19	77	3799
20	86	4033
21	92	4121
22	96	4104
23	102	4179
24	106	4166
25	111	4187
26	116	4210
27	129	4511
28	133	4455
29	137	4440
30	140	4405
31	145	4400
32	149	4377
33	153	4347
34	157	4330
35	160	4303
36	164	4281
37	168	4265
38	172	4246
39	178	4287
40	182	4272
41	186	4258
42	191	4252
43	194	4230
44	198	4211
45	202	4193
46	205	4172
47	209	4158
48	214	4166
49	219	4169
50	222	4148
51	226	4126
52	230	4126
53	234	4102
54	238	4105
55	243	4104
56	246	4075
57	250	4061
58	253	4047
59	255	3999
60	259	3987
61	262	3974
62	267	3976
63	271	3970
64	275	3962
65	278	3946
66	282	3935
67	285	3917
68	289	3908
69	293	3899
70	297	3887
71	301	3879
72	305	3876
73	309	3868
74	313	3861
75	316	3851
76	320	3843
77	324	3837
78	328	3825
79	331	3817
80	335	3810
81	339	3800
82	343	3796
83	347	3787
84	352	3792
85	355	3781
86	359	3774
87	364	3778
88	368	3768
89	371	3760
90	375	3752
91	379	3749
92	383	3741
93	387	3733
94	391	3725
95	394	3718
96	398	3712
97	402	3704
98	407	3704
99	411	3707
100	415	3702
101	420	3699
102	423	3692
103	427	3683
104	431	3677
105	435	3670
106	438	3662
107	442	3657
108	446	3650
109	449	3639
110	452	3623
111	455	3609
112	462	3628
113	468	3638
114	470	3623
115	474	3612
116	475	3592
117	479	3584
118	483	3577
119	487	3572
120	490	3566
121	494	3561
122	498	3554
123	502	3548
124	505	3541
125	509	3534
126	513	3530
127	517	3528
128	521	3521
129	524	3513
130	528	3506
131	532	3501
132	536	3495
133	539	3483
134	542	3477
135	545	3468
136	550	3466
137	554	3460
138	557	3452
139	560	3443
140	564	3440
141	569	3438
142	572	3433
143	576	3426
144	580	3422
145	584	3416
146	587	3409
147	591	3404
148	594	3396
149	598	3390
150	603	3392
151	607	3388
152	610	3381
153	615	3378
154	618	3373
155	623	3371
156	626	3366
157	630	3358
158	633	3350
159	637	3344
160	640	3338
161	643	3330
162	648	3330
163	651	3322
164	655	3317
165	659	3310
166	662	3306
167	666	3300
168	670	3294
169	673	3290
170	676	3280
171	681	3282
172	685	3276
173	689	3271
174	692	3266
175	696	3261
176	699	3253
177	702	3245
178	706	3238
179	710	3238
180	714	3232
181	717	3224
182	721	3219
183	725	3216
184	728	3207
185	731	3200
186	733	3188
187	736	3180
188	739	3174
189	743	3168
190	745	3159
191	747	3146
192	750	3138
193	751	3124
194	753	3109
195	754	3094
196	755	3080
197	757	3066
198	758	3052
199	759	3039
200	761	3025
201	762	3011
202	764	3000
203	765	2986
204	766	2974
205	768	2960
206	769	2948
207	770	2935
208	772	2925
209	774	2913
210	775	2900
211	776	2887
212	778	2875
213	779	2863
214	781	2852
215	786	2854
216	794	2865
217	798	2866
218	802	2862
219	807	2864
220	811	2860
221	815	2856
222	818	2853
223	822	2849
224	826	2845
225	829	2841
226	833	2838
227	837	2834
228	839	2827
229	846	2833
230	850	2830
231	853	2826
232	860	2831
233	863	2827
234	873	2843
235	877	2839
236	882	2841
237	886	2838
238	890	2835
239	894	2831
240	897	2827
241	901	2824
242	905	2820
243	908	2815
244	913	2815
245	917	2811
246	920	2807
247	924	2803
248	933	2814
249	937	2811
250	942	2811
251	945	2806
252	949	2802
253	952	2798
254	958	2799
255	962	2796
256	965	2791
257	978	2815
258	982	2811
259	985	2804
260	989	2800
261	993	2797
262	996	2792
263	1000	2788
264	1003	2783
265	1007	2779
266	1011	2775
267	1014	2771
268	1018	2767
269	1022	2763
270	1025	2759
271	1029	2755
272	1033	2751
273	1037	2749
274	1041	2746
275	1045	2741
276	1049	2739
277	1053	2735
278	1057	2731
279	1060	2727
280	1064	2723
281	1068	2721
282	1072	2718
283	1087	2740
284	1091	2737
285	1094	2732
286	1098	2728
287	1102	2724
288	1106	2721
289	1112	2724
290	1116	2720
291	1123	2724
292	1127	2719
293	1130	2715
294	1137	2717
295	1140	2713
296	1146	2714
297	1150	2710
298	1153	2705
299	1165	2719
300	1168	2714
301	1172	2709
302	1176	2705
303	1179	2701
304	1183	2697
305	1196	2714
306	1200	2709
307	1204	2705
308	1208	2701
309	1212	2697
310	1215	2693
311	1219	2689
312	1223	2685
313	1226	2679
314	1230	2676
315	1234	2671
316	1247	2688
317	1261	2705
318	1270	2712
319	1274	2708
320	1278	2703
321	1283	2702
322	1287	2698
323	1291	2693
324	1295	2691
325	1299	2686
326	1305	2686
327	1309	2682
328	1312	2677
329	1316	2673
330	1320	2668
331	1324	2664
332	1327	2659
333	1329	2651
334	1332	2644
335	1333	2635
336	1334	2626
337	1337	2619
338	1340	2613
339	1344	2609
340	1348	2605
341	1351	2600
342	1355	2595
343	1358	2591
344	1362	2587
345	1366	2582
346	1369	2578
347	1373	2574
348	1377	2569
349	1381	2565
350	1385	2561
351	1389	2557
352	1392	2552
353	1405	2565
354	1409	2561
355	1415	2561
356	1419	2557
357	1426	2557
358	1429	2553
359	1433	2547
360	1436	2543
361	1440	2539
362	1444	2535
363	1447	2529
364	1450	2523
365	1453	2517
366	1456	2512
367	1459	2507
368	1472	2517
369	1476	2513
370	1484	2516
371	1491	2518
372	1495	2513
373	1498	2508
374	1502	2504
375	1506	2500
376	1510	2496
377	1514	2492
378	1518	2487
379	1522	2484
380	1526	2479
381	1529	2474
382	1533	2469
383	1536	2464
384	1544	2467
385	1549	2464
386	1552	2459
387	1556	2455
388	1560	2450
389	1568	2453
390	1572	2449
391	1576	2445
392	1580	2441
393	1584	2436
394	1588	2432
395	1592	2428
396	1596	2424
397	1599	2419
398	1603	2415
399	1607	2411
400	1612	2408
401	1615	2403
402	1619	2399
403	1623	2395
404	1627	2390
405	1631	2386
406	1634	2381
407	1638	2377
408	1642	2373
409	1647	2370
410	1652	2367
411	1655	2363
412	1659	2358
413	1663	2354
414	1667	2350
415	1671	2346
416	1675	2342
417	1679	2337
418	1682	2333
419	1686	2329
420	1690	2325
421	1694	2320
422	1698	2317
423	1702	2313
424	1706	2308
425	1710	2304
426	1713	2299
427	1717	2295
428	1721	2291
429	1725	2286
430	1729	2282
431	1732	2278
432	1738	2277
433	1742	2272
434	1745	2267
435	1749	2262
436	1752	2258
437	1756	2254
438	1760	2249
439	1764	2245
440	1767	2241
441	1771	2236
442	1775	2232
443	1777	2226
444	1779	2219
445	1781	2212
446	1782	2205
447	1786	2200
448	1787	2194
449	1789	2187
450	1793	2183
451	1796	2178
452	1806	2181
453	1809	2176
454	1814	2173
